,antecedent,consequent,support,confidence,lift
75,frozenset({'SPX_Same'}),"frozenset({'SLV_Same', 'GLD_Same', 'USO_Down'})",0.48623853211009177,1.0,2.6100342075256555
76,frozenset({'GLD_Same'}),"frozenset({'SLV_Same', 'SPX_Same', 'USO_Down'})",0.48623853211009177,1.1334012219959266,2.330957230142566
77,frozenset({'USO_Down'}),"frozenset({'SLV_Same', 'GLD_Same', 'SPX_Same'})",0.48623853211009177,1.2690992018244014,2.6100342075256555
78,"frozenset({'SLV_Same', 'SPX_Same'})","frozenset({'USO_Down', 'GLD_Same'})",0.48623853211009177,1.0,2.6100342075256555
79,"frozenset({'SLV_Same', 'GLD_Same'})","frozenset({'USO_Down', 'SPX_Same'})",0.48623853211009177,1.1334012219959266,2.330957230142566
80,"frozenset({'SLV_Same', 'USO_Down'})","frozenset({'GLD_Same', 'SPX_Same'})",0.48623853211009177,1.2690992018244014,2.6100342075256555
81,"frozenset({'GLD_Same', 'SPX_Same'})","frozenset({'SLV_Same', 'USO_Down'})",0.48623853211009177,1.0,2.6100342075256555
82,"frozenset({'USO_Down', 'SPX_Same'})","frozenset({'SLV_Same', 'GLD_Same'})",0.48623853211009177,1.0,2.330957230142566
83,"frozenset({'USO_Down', 'GLD_Same'})","frozenset({'SLV_Same', 'SPX_Same'})",0.48623853211009177,1.2690992018244014,2.6100342075256555
84,"frozenset({'SLV_Same', 'GLD_Same', 'SPX_Same'})",frozenset({'USO_Down'}),0.48623853211009177,1.0,2.6100342075256555
85,"frozenset({'SLV_Same', 'SPX_Same', 'USO_Down'})",frozenset({'GLD_Same'}),0.48623853211009177,1.0,2.330957230142566
86,"frozenset({'SLV_Same', 'GLD_Same', 'USO_Down'})",frozenset({'SPX_Same'}),0.48623853211009177,1.2690992018244014,2.6100342075256555
87,"frozenset({'USO_Down', 'GLD_Same', 'SPX_Same'})",frozenset({'SLV_Same'}),0.48623853211009177,1.0,3.5161290322580645
88,frozenset({'SLV_Same'}),"frozenset({'GLD_Same', 'SPX_Same'})",0.48623853211009177,1.7096774193548387,3.5161290322580645
89,frozenset({'SPX_Same'}),"frozenset({'SLV_Same', 'GLD_Same'})",0.48623853211009177,1.0,2.330957230142566
90,frozenset({'GLD_Same'}),"frozenset({'SLV_Same', 'SPX_Same'})",0.48623853211009177,1.1334012219959266,2.330957230142566
91,"frozenset({'SLV_Same', 'SPX_Same'})",frozenset({'GLD_Same'}),0.48623853211009177,1.0,2.330957230142566
92,"frozenset({'SLV_Same', 'GLD_Same'})",frozenset({'SPX_Same'}),0.48623853211009177,1.1334012219959266,2.330957230142566
93,"frozenset({'GLD_Same', 'SPX_Same'})",frozenset({'SLV_Same'}),0.48623853211009177,1.0,3.5161290322580645
94,frozenset({'SLV_Same'}),frozenset({'USO_Down'}),0.3831367409349061,1.34715821812596,3.5161290322580645
95,frozenset({'USO_Down'}),frozenset({'SLV_Same'}),0.3831367409349061,1.0,3.5161290322580645
96,frozenset({'SLV_Same'}),"frozenset({'USO_Down', 'SPX_Same'})",0.48623853211009177,1.7096774193548387,3.5161290322580645
97,frozenset({'SPX_Same'}),"frozenset({'SLV_Same', 'USO_Down'})",0.48623853211009177,1.0,2.6100342075256555
98,frozenset({'USO_Down'}),"frozenset({'SLV_Same', 'SPX_Same'})",0.48623853211009177,1.2690992018244014,2.6100342075256555
99,"frozenset({'SLV_Same', 'SPX_Same'})",frozenset({'USO_Down'}),0.48623853211009177,1.0,2.6100342075256555
100,"frozenset({'SLV_Same', 'USO_Down'})",frozenset({'SPX_Same'}),0.48623853211009177,1.2690992018244014,2.6100342075256555
101,"frozenset({'USO_Down', 'SPX_Same'})",frozenset({'SLV_Same'}),0.48623853211009177,1.0,3.5161290322580645
102,frozenset({'SLV_Same'}),frozenset({'SPX_Same'}),0.48623853211009177,1.7096774193548387,3.5161290322580645
103,frozenset({'SPX_Same'}),frozenset({'SLV_Same'}),0.48623853211009177,1.0,3.5161290322580645
104,frozenset({'USO_Up'}),frozenset({'GLD_Same'}),0.4290083005679336,1.1210045662100458,2.6130136986301373
105,frozenset({'GLD_Same'}),frozenset({'USO_Up'}),0.4290083005679336,1.0,2.6130136986301373
106,frozenset({'USO_Up'}),"frozenset({'GLD_Same', 'SPX_Same'})",0.48623853211009177,1.2705479452054795,2.613013698630137
107,frozenset({'SPX_Same'}),"frozenset({'USO_Up', 'GLD_Same'})",0.48623853211009177,1.0,2.330957230142566
108,frozenset({'GLD_Same'}),"frozenset({'USO_Up', 'SPX_Same'})",0.48623853211009177,1.1334012219959266,2.330957230142566
109,"frozenset({'USO_Up', 'SPX_Same'})",frozenset({'GLD_Same'}),0.48623853211009177,1.0,2.330957230142566
